code,streaming_name,lcase_name
aae,A&E,a_e
abc,ABC,abc
ahc,AHCTV,ahctv
azp,AMC Plus,amc_plus
amo,AMC on Demand,amc_on_demand
ark,AMC+ Roku Premium Channel,amc_roku_premium_channel
awp,ARROW,arrow
act,Acorn TV,acorn_tv
aac,AcornTV Amazon Channel,acorntv_amazon_channel
ads,Adult Swim,adult_swim
alm,Alamo on Demand,alamo_on_demand
amp,Amazon Prime Video,amazon_prime_video
amz,Amazon Video,amazon_video
apl,Animal Planet,animal_planet
atp,Apple TV Plus,apple_tv_plus
itu,Apple iTunes,apple_itunes
asc,AsianCrush,asiancrush
bca,BBC America,bbc_america
bpc,Bet+ Amazon Channel,bet_amazon_channel
bmg,Boomerang,boomerang
abo,Boomerang Amazon Channel,boomerang_amazon_channel
brv,Bravo TV,bravo_tv
bbo,BritBox,britbox
abb,BritBox Amazon Channel,britbox_amazon_channel
bph,British Pathe TV,british_pathe_tv
bhd,BroadwayHD,broadwayhd
tcw,The CW,the_cw
cws,CW Seed,cw_seed
ctw,Cartoon Network,cartoon_network
chf,Chai Flicks,chai_flicks
acn,Cinemax Amazon Channel,cinemax_amazon_channel
cla,Classix,classix
com,Comedy Central,comedy_central
coo,Cooking Channel,cooking_channel
crk,Crackle,crackle
crc,Criterion Channel,criterion_channel
cru,Crunchyroll,crunchyroll
cur,Curia,curia
cts,Curiosity Stream,curiosity_stream
drv,DIRECTV,directv
diy,DIY Network,diy_network
dsv,DOCSVILLE,docsville
dkm,Darkmatter TV,darkmatter_tv
dkk,Dekkoo,dekkoo
dea,Destination America,destination_america
dis,Discovery,discovery
dil,Discovery Life,discovery_life
dpu,Discovery Plus,discovery_plus
adp,Discovery+ Amazon Channel,discovery_amazon_channel
dnp,Disney Plus,disney_plus
dnw,DisneyNOW,disneynow
daf,DocAlliance Films,docalliance_films
dog,Dogwoof On Demand,dogwoof_on_demand
dvc,Dove Channel,dove_channel
adw,DreamWorksTV Amazon Channel,dreamworkstv_amazon_channel
aep,EPIX Amazon Channel,epix_amazon_channel
epx,Epix,epix
erk,Epix Roku Premium Channel,epix_roku_premium_channel
ern,Eros Now,eros_now
flr,FILMRISE,filmrise
fxn,FXNow,fxnow
fnd,Fandor,fandor
afa,Fandor Amazon Channel,fandor_amazon_channel
tfd,The Film Detective,the_film_detective
fmp,Film Movement Plus,film_movement_plus
fmz,Filmzie,filmzie
fpm,Flix Premiere,flix_premiere
fxf,FlixFling,flixfling
fnw,Food Network,food_network
fus,Fox,fox
ffm,Freeform,freeform
fuv,fuboTV,fubotv
fmn,Funimation Now,funimation_now
ply,Google Play Movies,google_play_movies
gdc,GuideDoc,guidedoc
hbm,HBO Max,hbo_max
hmf,HBO Max Free,hbo_max_free
hbn,HBO Now,hbo_now
ahb,HBO Now Amazon Channel,hbo_now_amazon_channel
hgt,HGTV,hgtv
hmm,Hallmark Movies,hallmark_movies
ahm,Hallmark Movies Now Amazon Channel,hallmark_movies_now_amazon_channel
hrv,Here TV,here_tv
hyh,Hi-YAH,hi-yah
hdv,HiDive,hidive
his,History,history
hvt,History Vault,history_vault
hoc,Hoichoi,hoichoi
hop,Hoopla,hoopla
htv,Hopster TV,hopster_tv
hlu,Hulu,hulu
aim,IMDB TV Amazon Channel,imdb_tv_amazon_channel
ind,IndieFlix,indieflix
inv,Investigation Discovery,investigation_discovery
iqi,iQIYI,iqiyi
knp,Kanopy,kanopy
knw,Kino Now,kino_now
koc,Kocowa,kocowa
kor,KoreaOnDemand,koreaondemand
lol,Laugh Out Loud,laugh_out_loud
lft,Lifetime,lifetime
lmc,Lifetime Movie Club,lifetime_movie_club
ltv,Logo TV,logo_tv
mtv,MTV,mtv
